编号（关联功能）,序列号,部件名（系统）,型号,品牌
FXS-YX08,DEBAY01147,输液泵,G7120A,Agilent
FXS-YX08,DEBAQ02048,自动进样器,G7167B,Agilent
FXS-YX08,DEBAZ01666,柱温箱,G7116B,Agilent
FXS-YX08,DEBAV01157,DAD检测器,G7117A,Agilent
FXS-YX09,DEBAY01152,输液泵,G7120A,Agilent
FXS-YX09,DEBAQ02044,自动进样器,G7167B,Agilent
FXS-YX09,DEBAZ01663,柱温箱,G7116B,Agilent
FXS-YX09,DEBAV01145,DAD检测器,G7117A,Agilent
FXS-YX09,DEBAW04963,FLD检测器,G1321B,Agilent
FXY-MS02,01433C,质谱主机,X SERIES 2 ICP-MS,Thermo
FXY-MS02,129419469,机械泵,A363-24-930,Edwards
FXY-MS02,109033022,循环水机,1.21161E+14,Thermo
FXY-MS03,JP12061549,质谱主机,7700x（G3281A）,Agilent
FXY-MS03,180202791,机械泵,A36224930,Edwards
FXY-MS03,1C1071543,循环水机,3370P9QT2E,Agilent
FXY-MS04,JP13042266,质谱主机,7700x（G3281A）,Agilent
FXY-MS04,129442925,机械泵,A363-24-930,Edwards
FXY-MS04,6B16C1066,循环水机,G8481-80002,Agilent
FXY-MS05,JP17091758,质谱主机,G8403A 7900  ICP-MS,Agilent
FXY-MS05,IT20065061,机械泵,9499225M013,Agilent
FXY-MS05,7H1711694,循环水机,G1879-80204,Agilent
FXY-MS05,AU16452127,自动进样器,G8410A,Agilent
FXY-MS06,SG18294129,质谱主机,G8403A 7900  ICP-MS,Agilent
